6607.26 90.3366 6479.64 58.7285 6667.93 92.1609 6642.08 75.3865 5840.54 43.1441 6535.66 60.2466 6714.39 121.763 6581.14 74.87 6715.31 92.2629 6135 56.0396 NA NA NA NA
6052.65 45.2892 6639.37 76.2533 4242.71 31.8063 6559.37 61.3327 4143.02 29.1622 6525.56 59.842 6682 91.1709 6451.17 58.3153 6535.63 60.0539 4361.2 41.3337 NA NA NA NA
5416.76 41.9627 6599.53 76.035 6260.04 57.253 6642.4 75.9131 6287.69 57.1692 6608.71 75.3585 1842.3 13.4057 6665.92 76.1431 6411.68 58.0374 5619.43 42.1209 NA NA NA NA
6217.37 57.5635 6253.93 57.4466 6628.05 75.5147 6647.63 90.8407 6248.22 57.0648 6553.43 61.1468 6700.45 106.73 6457.77 58.6652 6184.7 56.068 6220.61 56.5481 NA NA NA NA
4227.98 31.4205 6145.18 56.1165 6450.4 58.3127 6667.93 92.1609 6642.08 75.3865 5879.19 43.5426 6573.01 61.3726 6714.39 121.763 6581.14 74.87 6715.31 92.2629 NA NA NA NA
6582.2 76.1316 6061.74 46.1948 4041.38 28.8151 4242.71 31.8063 6559.37 61.3327 2034.35 14.0221 6535.66 60.2466 6682 91.1709 6451.17 58.3153 6535.63 60.0539 NA NA NA NA
6343.74 58.2242 4242.06 31.4605 6497.37 59.9389 6260.04 57.253 6642.4 75.9131 6644.88 75.9157 6525.56 59.842 1842.3 13.4057 6665.92 76.1431 6411.68 58.0374 NA NA NA NA
5894.32 43.7375 6544.87 60.9594 6226.16 56.664 6450.4 58.3127 6647.63 90.8407 5840.54 43.1441 6608.71 75.3585 6700.45 106.73 6457.77 58.6652 6184.7 56.068 NA NA NA NA
5585.92 42.2615 6692.32 107.173 5579 42.1693 4041.38 28.8151 6667.93 92.1609 4143.02 29.1622 6553.43 61.1468 6573.01 61.3726 6682 91.1709 6581.14 74.87 NA NA NA NA
3922.24 27.4913 6228.06 56.8269 6412.99 58.2003 6497.37 59.9389 4242.71 31.8063 6287.69 57.1692 5879.19 43.5426 6535.66 60.2466 1842.3 13.4057 6451.17 58.3153 NA NA NA NA
