ie,davis_class_any,davis_class_code,mean_ie_lu_price,med_ie_lu_price,sd_ie_lu_price,count_ie_lu_price
286,pasture,11,28504.201,20033.225,19792.855,9
287,fallow,5,27476.988,27476.988,,1
287,grain,7,11872.014,9940.124,7418.8115,3
287,orchard,9,17251.18,12134.596,16772.98,10
287,tomato,13,6368.3853,6368.3853,,1
288,fallow,5,30555.43,30555.43,33993.039,2
288,grain,7,5918.6992,5918.6992,,1
288,rice,12,375.13901,375.13901,,1
288,wetland,16,1420.5098,1420.5098,,1
289,rice,12,4855.2095,5378.7061,4442.2466,4
290,orchard,9,326.85605,326.85605,,1
291,orchard,9,10604.002,8339.7207,8162.8501,4
293,orchard,9,21090.131,20290.152,10044.992,8
294,alfalfa,1,10575.774,10575.774,,1
294,fallow,5,19391.609,19391.609,1658.9664,2
294,grain,7,9243.9414,9243.9414,,1
294,orchard,9,17684.369,18284.799,10894.799,11
295,fallow,5,12922.55,8551.2686,9632.5537,3
295,orchard,9,19614.141,19275.652,3618.949,3
295,rice,12,17203.133,17203.133,17211.271,2
296,fallow,5,30818.957,22521.365,31606.35,5
296,pasture,11,5506.7627,5506.7627,2891.7771,2
298,citrus and olives,2,30384.326,30384.326,,1
298,pasture,11,2018.7607,2018.7607,,1
299,fallow,5,70756.195,70756.195,82129.5,2
299,grain,7,13431.675,9865.0137,7931.1509,3
299,orchard,9,11770.068,9757.3438,10247.369,4
299,pasture,11,18597.195,13409.721,15174.766,8
300,fallow,5,14811.511,14811.511,17103.828,2
300,grain,7,9296.3799,6956.2588,9396.7871,4
300,orchard,9,15098.374,15098.374,,1
301,rice,12,8557.5967,8557.5967,,1
304,orchard,9,29588.572,29588.572,167.71413,2
305,fallow,5,16996.436,15042.117,6608.3818,5
305,grain,7,17140.27,17140.27,,1
305,orchard,9,16409.533,14320.488,6734.583,10
305,tomato,13,16152.782,16152.782,,1
306,alfalfa,1,639.84875,639.84875,,1
306,fallow,5,15301.591,14311.375,7552.4658,7
306,grain,7,39393.273,31767.629,32316.67,3
306,orchard,9,18273.156,16585.037,9237.6201,4
306,pasture,11,6579.0562,6579.0562,,1
306,rice,12,9535.6074,9616.0576,5570.8345,4
306,truck crops,14,7320.6079,7320.6079,,1
307,rice,12,3695.8118,3715.4131,554.38739,3
309,pasture,11,23505.67,23505.67,,1
310,grain,7,7910.0508,7910.0508,,1
310,vineyard,15,11685.104,11685.104,4018.7827,2
311,alfalfa,1,6691.7163,6691.7163,,1
311,fallow,5,12794.565,12794.565,2314.2156,2
311,grain,7,5231.9531,6150.5513,3012.4705,3
311,orchard,9,7827.7129,7827.7129,2421.0173,2
312,alfalfa,1,3720.7661,3720.7661,,1
312,fallow,5,4788.1611,4788.1611,,1
312,grain,7,4901.7637,4901.7637,,1
317,fallow,5,18742.055,18742.055,8584.5674,2
317,orchard,9,15934.698,15934.698,13447.965,2
318,orchard,9,102235.04,102235.04,,1
318,rice,12,5241.6636,5241.6636,972.17792,2
318,vineyard,15,26623.09,26623.09,,1
319,fallow,5,17457.563,11112.056,13302.281,3
319,orchard,9,44323.07,44323.07,23573.365,2
319,rice,12,7521.3994,7521.3994,5382.4775,2
320,fallow,5,31366.451,31366.451,,1
320,orchard,9,100052.41,100052.41,,1
321,pasture,11,8418.0762,8840.9941,2758.2324,5
322,alfalfa,1,10284.136,9367.6113,7871.8135,4
322,fallow,5,17582.418,17582.418,,1
322,grain,7,8474.9248,8289.1553,7739.0459,3
322,orchard,9,9523.1289,9523.1289,9576.8281,2
322,pasture,11,22255.066,22255.066,10260.212,2
322,tomato,13,10193.4,10193.4,,1
323,alfalfa,1,13924.438,14151.535,2055.2925,4
323,grain,7,5627.9165,5627.9165,,1
